x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,2.36972700754875
-0.30,-0.20,0.02,1.34914553735905
-0.30,-0.15,0.02,1.68289368020432
-0.30,0.15,0.02,2.65673714703781
-0.30,0.20,0.02,1.4932668153123
-0.30,0.25,0.02,1.53523572950774
-0.25,-0.30,0.02,3.30224800263866
-0.25,-0.25,0.02,1.90808494724363
-0.25,-0.20,0.02,1.30846513612446
-0.25,-0.15,0.02,1.6406307604622
-0.25,-0.10,0.02,1.30970953277872
-0.25,-0.05,0.02,0.917444360439763
-0.25,0.00,0.02,1.00676564585816
-0.25,0.05,0.02,0.884493297123288
-0.25,0.10,0.02,3.53419244922778
-0.25,0.15,0.02,2.21460285771514
-0.25,0.20,0.02,1.47725050097799
-0.25,0.25,0.02,1.47787164240464
-0.25,0.30,0.02,1.2257906560839
-0.20,-0.30,0.02,2.75918465056094
-0.20,-0.25,0.02,1.83199160794379
-0.20,-0.20,0.02,1.6178917358764
-0.20,-0.15,0.02,1.90809202022704
-0.20,-0.10,0.02,1.94140266114683
-0.20,-0.05,0.02,1.80227748540333
-0.20,0.00,0.02,1.67113956866723
-0.20,0.05,0.02,2.26636497912578
-0.20,0.10,0.02,2.93575029140661
-0.20,0.15,0.02,1.86632342651316
-0.20,0.20,0.02,1.45738368773311
-0.20,0.25,0.02,1.51326448571787
-0.20,0.30,0.02,1.56819276807352
-0.15,-0.30,0.02,2.21596513000683
-0.15,-0.25,0.02,1.94595260954529
-0.15,-0.20,0.02,2.04077054361293
-0.15,-0.15,0.02,2.34638298329692
-0.15,-0.10,0.02,2.70529129308462
-0.15,-0.05,0.02,3.0610766139272
-0.15,0.00,0.02,3.04171625160642
-0.15,0.05,0.02,2.80470584952979
-0.15,0.10,0.02,2.11790168786219
-0.15,0.15,0.02,1.88795731365793
-0.15,0.20,0.02,1.93593016341161
-0.15,0.25,0.02,2.35386429616214
-0.15,0.30,0.02,2.85759447511682
-0.10,-0.25,0.02,1.90335195952372
-0.10,-0.20,0.02,2.61734189992882
-0.10,-0.15,0.02,2.9516704559142
-0.10,0.15,0.02,2.27717403861576
-0.10,0.20,0.02,2.96951396458551
-0.10,0.25,0.02,3.61635583072203
-0.05,-0.25,0.02,2.09513770748703
-0.05,-0.20,0.02,1.78128682591136
-0.05,-0.15,0.02,0.523937983775801
-0.05,0.15,0.02,2.72689555454827
-0.05,0.20,0.02,1.92302703587025
-0.05,0.25,0.02,0.764036950274335
0.00,-0.25,0.02,2.39178374715293
0.00,-0.20,0.02,1.48254723485057
0.00,-0.15,0.02,0.799790575887902
0.00,0.15,0.02,3.07252103835985
0.00,0.20,0.02,1.49442091822472
0.00,0.25,0.02,1.03316265861098
0.05,-0.25,0.02,2.55664150142984
0.05,-0.20,0.02,1.70281492915169
0.05,-0.15,0.02,1.03490854574202
0.05,0.15,0.02,2.99111016476184
0.05,0.20,0.02,1.70898898672178
0.05,0.25,0.02,1.07061255214052
0.10,-0.25,0.02,2.16603305784007
0.10,-0.20,0.02,1.5984149572997
0.10,-0.15,0.02,1.35836604884922
0.10,0.15,0.02,2.78412833731679
0.10,0.20,0.02,1.74943358830446
0.10,0.25,0.02,1.3915056531037
0.15,-0.30,0.02,2.79893150664755
0.15,-0.25,0.02,1.95337025291019
0.15,-0.20,0.02,1.46483939740468
0.15,-0.15,0.02,1.20509761716585
0.15,-0.10,0.02,1.20328918317293
0.15,-0.05,0.02,1.12222784015308
0.15,0.00,0.02,0.877154051203937
0.15,0.05,0.02,0.483885836799524
0.15,0.10,0.02,2.66277517082419
0.15,0.15,0.02,2.36229437147146
0.15,0.20,0.02,1.72964939332784
0.15,0.25,0.02,1.51348008049985
0.15,0.30,0.02,1.80283866242355
0.20,-0.30,0.02,2.3984710129608
0.20,-0.25,0.02,1.77539538033792
0.20,-0.20,0.02,1.48539600654133
0.20,-0.15,0.02,1.51562454048358
0.20,-0.10,0.02,1.6321138577535
0.20,-0.05,0.02,1.85768033071566
0.20,0.00,0.02,1.48724797087513
0.20,0.05,0.02,1.34168488563822
0.20,0.10,0.02,2.62687468093829
0.20,0.15,0.02,2.0239626858055
0.20,0.20,0.02,1.56873730547022
0.20,0.25,0.02,1.53188762746454
0.20,0.30,0.02,1.55611795074165
0.25,-0.30,0.02,1.83125665485861
0.25,-0.25,0.02,1.83645622026633
0.25,-0.20,0.02,1.80613836721319
0.25,-0.15,0.02,1.91823016569719
0.25,-0.10,0.02,2.18356090600993
0.25,-0.05,0.02,2.41874582509945
0.25,0.00,0.02,2.35663176275707
0.25,0.05,0.02,2.19311981739266
0.25,0.10,0.02,1.96489688088226
0.25,0.15,0.02,1.95579364183812
0.25,0.20,0.02,1.7849914792437
0.25,0.25,0.02,1.99698399199588
0.25,0.30,0.02,2.57256108955922
0.30,-0.25,0.02,1.85315962311606
0.30,-0.20,0.02,2.31487991220827
0.30,-0.15,0.02,2.82339017747728
0.30,0.15,0.02,2.27292367942557
0.30,0.20,0.02,2.86418428658602
0.30,0.25,0.02,3.58548375596266
